"Enlargement of the temporal horn (also called inferior horn) of the lateral ventricles 1, 2. This enlargement can either be symmetric as well as asymmetric. The higher the rates of ventricular enlargement are in healthy persons, the greater is relative hazard for AD3, 4. When examining the volume of the temporal horn, age should be taken into account, because the size of the temporal horn increases with increasing age 5. Yearly measurements of  the temporal horn in alzheimer patients have shown a 14.16 /-8.47 percentage increase per year (p = 0.002)6. Enlargement of the temporal horn is caused by atrophy in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe.";"0.325118";"petrositis";"An osteomyelitis that has_material_basis_in infection located_in petrous part of temporal bone.";"0.243053";"lymphoid hyperplasia";"Benign enlargement of lymphoid tissues.";"0.210795";"Kluver-Bucy syndrome";"A disease of mental health that involves abnormalities in memory, social and sexual functioning and idiosyncratic behaviors resulting from damage from trauma or infection to both temporal lobes.";"0.189006";"splenic manifestation of leukemia";"A leukemia that is located_in the spleen. It results_in an enlargement of the leukemia.";"0.162107";"middle ear cholesterol granuloma";"A otitis media which is an expansile, inflammatory mass of granulation tissue in the middle ear. It is a foreign body reaction to cholesterol deposits that occur in obstructed fluid-filled air cells of the temporal bone. It is present with a conductive hearing loss and a blue eardrum.";"0.158622";"acromegaly";"A disease of metabolism that has_material_basis_in excessive growth hormone production which results_in enlargement located_in limb.";"0.101542";"otospondylomegaepiphyseal dysplasia";"An osteochondrodysplasia that results from mutations in the COL11A2 gene which results_in enlargement of the located_in epiphysis in located_in hand and located_in foot, distinct facial features, platyspondyly and hearing loss.";"0.0844516";"autoimmune lymphoproliferative syndrome";"A lymphoproliferative disease that is an inherited disorder in which the body cannot properly regulate the number of immune system cells (lymphocytes). It is characterized by the production of an abnormally large number of lymphocytes. Accumulation of excess lymphocytes results in enlargement of the lymph nodes, the liver, and the spleen.";"0.0813611";"late congenital syphilis";"A congenital syphilis composed of a subset of cases of congenital syphils which occurs in children at or greater than two years of age who acquired the infection trans-placentally.";"0.0793325";"coccidiosis";"A parasitic protozoa infectious disease that occurs in the intestinal tract of animals and humans caused by Coccidia protozoa. Immunocompromised persons are at greater risk of developing the infection."
"Diffuse cerebral atrophy increases with the progress of clinical stage of Alzheimer patients. Atrophy should be looked at relative to what is normal, correct for head size, age5, and some studies also correct for gender, however Mu et al5 found no differences in gender. Although global cerebral atrophy is found in Alzheimer patients 1,7, some parts of the brain are affected worse than other parts, especially the medial temporal lobe area is affected8. Atrophy can be found in the hippocampal, amygdala and entorhinal, perirhinal and parahippocampal cortices in the temporal lobe. Atrophy in these areas results in enlargement of the temporal horn.";"0.199801";"osteoporosis";"Reduction in the quantity of bone or atrophy of skeletal tissue. More severe than MPATH: 53 with gross changes to bone matrix.";"0.176654";"petrositis";"An osteomyelitis that has_material_basis_in infection located_in petrous part of temporal bone.";"0.128699";"atrophic rhinitis";"A rhinitis which involves inflammation of the nose characterised by atrophy of nasal mucosa including the glands, turbinate bones, and the nerve elements supplying the nose that is caused by heredity factors, endocrine imbalance, nutritional deficiency, bacterial infection and autoimmune issues.";"0.120993";"mesoblastic nephroma";"A spindle cell neoplasm that is found in the kidney and is usually found before birth by ultrasound or within the first 3 months of life.";"0.120095";"postpoliomyelitis syndrome";"A poliomyelitis that results_in atrophy located_in muscle, many years after the initial infection, has_material_basis_in Human poliovirus 1, has_material_basis_in Human poliovirus 2, or has_material_basis_in Human poliovirus 3. It is characterized by new weakening in muscles that were previously affected by the polio infection and in muscles that were unaffected. The infection has_symptom muscle weakness, has_symptom muscle pain, has_symptom sleep apnea, and has_symptom breathing problems.";"0.114536";"Kluver-Bucy syndrome";"A disease of mental health that involves abnormalities in memory, social and sexual functioning and idiosyncratic behaviors resulting from damage from trauma or infection to both temporal lobes.";"0.108571";"Herpes simplex virus meningoencephalitis";"A Simplexvirus infectious disease that results_in inflammation located_in brain and located_in meninges, has_material_basis_in Human herpesvirus 2 and has_symptom headache, has_symptom lesions in the brain, and has_symptom cerebral hemorrhage.";"0.105068";"invasive aspergillosis";"An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus, which spreads to other parts of the body through bloodstream in patients with acute leukemia and recipients of tissue transplants. Clinical symptoms include pulmonary nodules and hemorrhage.";"0.101834";"pancreatic carcinoma";"A pancreas cancer that is located_in cells found in the tissues of the pancreas.";"0.0928705";"intraocular retinoblastoma";"A retinoblastoma that is located_in the eye and has not spread to other parts of the body."
"Widened sulci in alzheimer patients due to atrophy seen in several brain regions. The widening of sulci is presented in different sulci, including supracallosal, cingulate, marginal, parieto-occipital, anterior and posterior calcarine sulci, and Sylvian fissures. The widening of the sulci lead to an increased CSF volume.";"0.283677";"lymphangiectasis";"A stretching and widening of the lymphatic vessels.";"0.137883";"Albright's hereditary osteodystrophy";"An osteochondrodysplasia that has_material_basis_in lack of responsiveness to parathyroid hormone which results_in shortening and widening of long bones of the located_in hand and located_in foot along with short stature, obesity, and rounded face.";"0.133526";"splenic marginal zone lymphoma";"A lymphoid proliferation of cells of the marginal zone of the white pulp of the spleen.";"0.0773314";"Barre-Lieou syndrome";"A syndrome that involves occipital head aches, nystagmus on head movement, tinnitus, spasms, blurred vision, corneal hyperaesthesia, and corneal ulcers.";"0.076707";"cerebral amebiasis";"An amebiasis that involves infection of the brain caused by the parasite Entamoeba histolytica resulting in brain abscesses.";"0.0749643";"granulomatous amebic encephalitis";"A parasitic protozoa infectious disease that results in infection of the brain caused by Acanthamoeba or Balamuthia mandrillaris. The symptoms include headaches, altered mental status, and focal neurologic deficit, which progresses over several weeks to death.";"0.0740288";"osteoporosis";"Reduction in the quantity of bone or atrophy of skeletal tissue. More severe than MPATH: 53 with gross changes to bone matrix.";"0.0731218";"Potter's syndrome";"Potter's syndrome is a syndrome desribing the typical physical appearances of a fetus or neonate due to oligohydramnios experienced in the womb where there is a decrease in amniotic fluid volume sufficient to cause disruptions in morphogenesis of the fetus.";"0.0719244";"atrophic rhinitis";"A rhinitis which involves inflammation of the nose characterised by atrophy of nasal mucosa including the glands, turbinate bones, and the nerve elements supplying the nose that is caused by heredity factors, endocrine imbalance, nutritional deficiency, bacterial infection and autoimmune issues.";"0.0716527";"viral encephalitis";"An encephalitis that involves inflammation of the brain caused by viral infection."
"MR signal changes and histopathology of AD. AB Note the cortical Hyperintensity in the left medial temporal lobe (white arrows) and insula cortex (black arrows) bilaterally. These signal abnormalities possibly reflect the cortical histopathology of AD. Note also moderate PVH and mild-to-moderate SCL. C: Neurofibrillary tangles (elongated or triangular brown staining structures) and senile plaques (irregular or star-burst brownstaining Structures) in the subiculum (retrocommissural hippocampus) in AD subject labelad with an antibody to TAU proteins. First described by Alzheimer in 1907 (93) neurofibrillary tangles are paired helical and straight filaments (91). Tau proteins -the low molecular weight microtubule-associated proteins of the neuronal cytoskeleton- are building blocks of paired helical filaments. D: Antiserum to beta amyloid protein labels walls of numerous blood vessels as well as senile plaques one of wich is seen as the irregular patch-like brown staining structure in the bottom of the figure. E: Hirano bodies in the hippocampus. The right half of the section is stained with the standard H E dyes. These intraneuronal rod-shaped inclusions are easily seen on the immunostained section (left using antibody to actin and neurofilaments) as brown rod-like structures but they are less evident when stained by routine H E technique Hirano bodies are eosinophillic and more subtle. Hirano bodies primarily arise as a consequence of perturbations of the microfilament system (ie. actin tropomyosin vinculin and aplha actinin).";"0.207978";"tauopathy";"A dimentia that has_material_basis_in the pathological aggregation of tau protein in so-called neurofibrillary tangles (NFT) in the human brain.";"0.105767";"Alzheimer's disease";"A dementia that results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting in late middle age and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid. It is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability.";"0.102389";"extracellular matrix deposition";"Abnormal deposition of extracellular matrix proteins or other components.";"0.0885014";"fibrinoid necrosis";"Necrosis in which the necrotic tissue shows deeply eosinophilic staining similar to that of fibrin.";"0.0826616";"lipoma";"Benign neoplasia derived from lipoblasts or lipocytes of white or brown fat. May be angiomatous or hibernomatous. (M- 8850/0).";"0.081385";"moderate intra-epithelial epithelial neoplasia";"Moderate non-invasive changes in cell morphology and tissue architecture confined to the epithelium alone.";"0.0779626";"eye carcinoma";"A carcinoma that arises_from the tissues that cover structures located_in the eye.";"0.0770896";"cone-rod dystrophy";"A retinal degeneration that is an inherited progressive disease that causes deterioration of the cone and rod photoreceptor cells and often results in blindness.";"0.0767513";"nonsyndromic deafness";"An auditory system disease that is associated with permanent hearing loss caused by damage to structures in the inner ear and/or the middle ear, which is not associated with other signs and symptoms.";"0.0706682";"inter-ventricular septal defect";"Failure of the inter-ventricular septum to completely close between the left and right ventricles."
"Together with the hippocampus the amygdala is of the major sites of damage in Alzheimers disease. The amygdala is involved in emotional behaviour and also cognition during emotional changes in human. The role of the amygdala in memory function remains controversial. There is evidence that the amydala begins to atrophy earlier than hippocampus18 this is of importance for diagnosing AD in a very early stage. A reduction of 36% is found in the amygdale of AD patients when looking at the size of the amygdala in relation to total intracranial volume a reduction of 40% was found. The amount of atrophy depended on the mini-mental state 10. Some studies indicate that the accuracy of AD diagnosis increases by volumetry of amygdala-hippocampal complex (AHC) compared to only volumetric measurements of the hippocampus {Lehericy 1994 23 id";"0.20017";"osteoporosis";"Reduction in the quantity of bone or atrophy of skeletal tissue. More severe than MPATH: 53 with gross changes to bone matrix.";"0.111099";"Alzheimer's disease";"A dementia that results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting in late middle age and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid. It is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability.";"0.110252";"glycogen depletion";"Reduction in intracellular glycogen content.";"0.106038";"lipid depletion";"Reduction in cellular or plasma lipid content.";"0.104908";"mesoblastic nephroma";"A spindle cell neoplasm that is found in the kidney and is usually found before birth by ultrasound or within the first 3 months of life.";"0.101141";"idiopathic CD4-positive T-lymphocytopenia";"A lymphopenia that is caused by a reduction of CD4+ T lymphocytes.";"0.0971448";"agammaglobulinemia";"A B cell deficiency that is caused by a reduction in all types of gamma globulins.";"0.0933648";"atrophy";"A reduction in size of organs or tissues as a result of cell death, loss of cellularity of whatever cause, reduced cellular proliferation or decreased cellular volume.";"0.0925378";"defective growth and differentiation process";"Abnormal increase or decrease in the rate of cell growth or cell division including associated changes in the differentiation state of adult cells.";"0.0889942";"emphysema";"Abnormal accumulation of air in the interstitial connective tissue of a structure. Sensu Lung: Pulmonary emphysema; characterised by abnormal increase in the size of air (alveolar) spaces distal to the terminal bronchiole with degenerative changes in their walls and reduction in their number."
"Reference: Alpini et al. The Pathobiology of Biliary Epithelia. HEPATOLOGY 2002;35: 1256-1268. Fig. 3. Schematic representation of the secretory and proliferative heterogeneity of the rat intrahepatic biliary epithelium. The cartoon shows that the major anatomical sites of secretin-stimulated choleresis are restricted to large (but not small) cholangiocytes in large bile ducts. The cartoon also shows that large ducts selectively proliferate in response to BDL following acute CCl4 administration. Apoptosis was observed only in large cholangiocytes and this was accompanied by loss of function with decreased proliferation and secretion in large cholangiocytes and loss of the choleretic effect of secretin. Concomitant with loss of large duct functions, small cholangiocytes proliferate de novo and respond to secretin to compensate for loss of function of large ducts after CCl4 administration.";"0.264779";"Diffuse large B-cell lymphoma";"Diffuse proliferation of large B lymphoid cells.";"0.249247";"giant cell carcinoma";"A carcinoma that is located_in large undifferentiated cells.";"0.198145";"bullous pemphigoid";"An autoimmune disease of skin and connective tissue characterized by large blisters.";"0.196144";"T large cell anaplastic lymphoma";"Diffuse large pleiomorphic T cell lymphoma. This entity does not correspond to human anaplastic large cell lymphoma.";"0.195356";"megakaryocytic leukemia";"A leukemia that derives_from blood-forming tissue in which megakaryocytes proliferate in the bone marrow and circulate in the blood in large numbers.";"0.194633";"bile duct adenoma";"An adenoma and biliary tract cancer that results_in a small firm white nodule with multiple bile ducts that are located_in a fibrous stroma.";"0.176698";"T natural killer cell lymphoma";"Neoplasm of large granular T cells of CD8 phenotype.";"0.17375";"angiofibroma";".A benign neoplasm of fibrous tissue in which there are multiple large and small dilated vascular channels ( M9160/0).";"0.16991";"bile duct cancer";"A bile duct disease and biliary tract cancer that is located_in the bile duct.";"0.169494";"diffuse large B-cell lymphoma, immunoblastic type";"Diffuse large B cell lymphoma with increased number of immunoblasts."
"The neurochemical changes in the brain of APP/PS1 mice with progression of the disease. The decrease in concentration of N-acetylaspartate (NAA) and glutamate (Glu) and a dramatic increase in the concentration of myoinositol (mIns) are observed with disease progression in a transgenic mouse model of Alzheimer's disease. The spectra were obtained from the voxel placed in the cortex and the hippocampus.";"0.21339";"pre-neoplastic lesions";"Lesions likely to result in progression to frank tumors, which may be classified as pre-neoplastic or pre-cancerous.";"0.190913";"craniodiaphyseal dysplasia";"An osteosclerosis that results_in increased calcium concentration located_in skull which decreases the size of cranium foramina and cervical spinal canal.";"0.143899";"defective growth and differentiation process";"Abnormal increase or decrease in the rate of cell growth or cell division including associated changes in the differentiation state of adult cells.";"0.0890715";"bone resorption disease";"A bone remodeling disease that results in an abnormal decrease of bone density or mass.";"0.0878";"classic Burkitt lymphoma";"Highly proliferative B-cell lymphoma characteristically seen in c-Myc transgenic mice, derived from mature B cells.";"0.0840108";"glaucoma";"Increase in the intraocular pressure.";"0.0802937";"dystrophy";"Regressive changes which may increase in severity, and which may result from defective nutrition or support of a tissue or organ.";"0.0777682";"hypertrophy";"Increase in size or mass of a cell, tissue or organ without increase in cell proliferation. Cf. Hyperplasia MPATH: 133.";"0.0759236";"adrenal cortical adenocarcinoma";"An adrenal carcinoma that originating in the cortex of the adrenal gland.";"0.0752574";"cerebral amebiasis";"An amebiasis that involves infection of the brain caused by the parasite Entamoeba histolytica resulting in brain abscesses."
"Domain structure of tau isoforms and constructs. Tau40 is the longest tau isoform in the human CNS, occurring mostly in axons (Goedert et al., 1989). It consists of 441 amino acid residues and can be divided into an NH2-terminal projection domain and a COOH-terminal microtubule binding domain containing four imperfect repeats (R1√êR4) and basic proline-rich sequences on either side that act as microtubule targeting domains (shaded dark, P1, and P2). The repeats show high homology between tau, MAP2, and MAP4. The shaded NH2-terminal inserts and repeat two can be alternatively spliced, resulting in six different tau isoforms. The predominantly embryonic isoform tau23 lacks all three inserts (352 residues). Tau constructs K12 and K10 are derived from tau23, they contain three repeats plus either a COOHterminal flanking region (K12) or the whole COOH-terminal tail (K10). K35 contains three repeats and the basic proline-rich regions on either side, including the COOH-terminal tail. K23 contains all of tau23 except the repeats.";"0.187762";"tauopathy";"A dimentia that has_material_basis_in the pathological aggregation of tau protein in so-called neurofibrillary tangles (NFT) in the human brain.";"0.176222";"telangiectasia";"A lesion formed by a dilated capillary or terminal artery.";"0.152104";"Escherichia coli pneumonia";"A commensal Escherichia coli infectious disease that is caused by Escherichia coli. The disease results from proliferation of aspirated organisms in terminal airways, usually at multiple sites in the lung. Multifocal area of consolidation result and terminal airways and alveoli are filled with proteinaceous fluid, fibrin, neutrophils, and macrophages.";"0.107394";"bronchopneumonia";"A pneumonia involving inflammation of lungs that begins in the terminal bronchioles, which become clogged with thick mucus that forms consolidated patches in adjacent lobules. It is caused by bacteria and viruses.";"0.0981265";"carcinosarcoma";"Possible origin from smooth muscle cells or pluripotential embryonic mesenchymal cells. May show up to three cellular componants including carcinoma and sarcoma type appearances. (M-8980/3).";"0.0924651";"ovine pulmonary adenomatosis";"A viral infectious disease that results_in bronchioloalveolar carcinoma in ovine, located_in lung, has_material_basis_in Jaagsiekte sheep retrovirus, characterized by proliferation of the pulmonary alveolar epithelium and occlusion of the alveoli and terminal bronchioles, presenting as a collection of benign growths of grandular origin.";"0.0873829";"melanoma in situ";"A potentially malignant lesion, melanoma in situ is the first phase of growth of melanoma, in which it is still confined to the epithelial domain (epidermis and adnexa) and has not passed through the basement membrane. (M-8720/2).";"0.0839168";"emphysema";"Abnormal accumulation of air in the interstitial connective tissue of a structure. Sensu Lung: Pulmonary emphysema; characterised by abnormal increase in the size of air (alveolar) spaces distal to the terminal bronchiole with degenerative changes in their walls and reduction in their number.";"0.0826328";"clear cell hidradenoma";"Tumor derived from eccrine sweat glands composed of clear glycogen rich cells. ( M-84020 ).";"0.079102";"cell and tissue damage process";"Processes occurring during cell and tissue damage of either intrinsic or extrinsic etiology."
